Removed Pin From Net: NetName=+5 Pin=L1-1
Removed Pin From Net: NetName=NetL1_2 Pin=L1-2
Removed Pin From Net: NetName=+5 Pin=L2-1
Removed Pin From Net: NetName=NetL2_2 Pin=L2-2
Removed Pin From Net: NetName=+5 Pin=L3-1
Removed Pin From Net: NetName=NetL3_2 Pin=L3-2
Removed Pin From Net: NetName=+5 Pin=L4-1
Removed Pin From Net: NetName=NetL4_2 Pin=L4-2
Removed Pin From Net: NetName=+5 Pin=L5-1
Removed Pin From Net: NetName=NetL5_2 Pin=L5-2
Removed Pin From Net: NetName=NetL6_1 Pin=L6-1
Removed Pin From Net: NetName=NetL6_2 Pin=L6-2
Change Component Comment : Designator=Y1 Old Comment=16MHz, 10 pf New Comment=16MHz
Change Component Comment : Designator=Y2 Old Comment=16MHz, 10 pf New Comment=16MHz
Change Component Comment : Designator=L4 Old Comment=AMS New Comment=Red
Change Component Comment : Designator=L5 Old Comment=IMD New Comment=Red
Change Component Comment : Designator=L2 Old Comment=MC New Comment=Red
Change Component Comment : Designator=L3 Old Comment=MODE New Comment=Green
Change Component Comment : Designator=L6 Old Comment=SSOK New Comment=Amber
Change Component Comment : Designator=L1 Old Comment=START New Comment=Blue
Change component parameters: Designator = "U1" ("U1"); Footprint = "32A_M"; UniqueID = "\APNXUIOR" ("\APNXUIOR")
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "TO-261-AA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEITA"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM340-N&fileType=pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "LDO IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "High-Reliability"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Molded SOT-223, 6.50 x 3.56 x 1.6mm Body, 4 Lead, 2.3mm Pitch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "DCY0004A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageTopMarking"; Value = "XYTT*N00A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PinCount"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerWise"; Value = "N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "SOIC-SN8_N"; UniqueID = "\VGQQGHXJ" ("\VGQQGHXJ")
Change component parameters (AddParameter): Name = "Code_IPC"; Value = "SOIC127P600-8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MS-012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.microchip.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://ww1.microchip.com/downloads/en/DeviceDoc/21667F.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.microchip.com/stellent/groups/techpub_sg/documents/packagingspec/en012702.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "revF, Jul-2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "8-Lead Plastic Small Outline (SN) - Narrow, 3.90mm Body [SOIC]"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "SOIC-SN8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "revBB, Aug-2009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RevisionNote"; Value = "URLs added. DatasheetVersion updated."; VariantName = "[No Variations]"
Change component parameters: Designator = "U4" ("U4"); Footprint = "TSSOP-ST20_N"; UniqueID = "\QWJUVXIZ" ("\QWJUVXIZ")
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MO-153-AC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.microchip.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://ww1.microchip.com/downloads/en/DeviceDoc/21801f.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.microchip.com/stellent/groups/techpub_sg/documents/packagingspec/en012702.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "revF, Oct-2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "20-Lead Plastic Thin Shrink Small Outline (ST) - 4.4mm Body [TSSOP]"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "TSSOP-ST20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "revBB, Aug-2009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RevisionNote"; Value = "URLs added. DatasheetVersion updated."; VariantName = "[No Variations]"
Change component parameters: Designator = "IC1" ("IC1"); Footprint = "DIODES SOT-23-3"; UniqueID = "\XHOOKLZU" ("\XHOOKLZU")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/DMG3406L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/DMG3406L-7/DMG3406L-7DICT-ND/5223238"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "3.6A (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "11.2nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "495pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 4:00:19 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DMG3406L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "770mW (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "50mOhm @ 3.6A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DMG3406L-7DICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 250µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC2" ("IC2"); Footprint = "DIODES SOT-23-3"; UniqueID = "\JMHUQEWQ" ("\JMHUQEWQ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/DMG3406L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/DMG3406L-7/DMG3406L-7DICT-ND/5223238"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "3.6A (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "11.2nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "495pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 4:00:19 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DMG3406L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "770mW (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "50mOhm @ 3.6A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DMG3406L-7DICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 250µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC3" ("IC3"); Footprint = "DIODES SOT-23-3"; UniqueID = "\RHJSMVYZ" ("\RHJSMVYZ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/DMG3406L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/DMG3406L-7/DMG3406L-7DICT-ND/5223238"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "3.6A (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "11.2nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "495pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 4:00:19 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DMG3406L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "770mW (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "50mOhm @ 3.6A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DMG3406L-7DICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 250µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC4" ("IC4"); Footprint = "DIODES SOT-23-3"; UniqueID = "\ZMADMWQP" ("\ZMADMWQP")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/DMG3406L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/DMG3406L-7/DMG3406L-7DICT-ND/5223238"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "3.6A (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "11.2nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "495pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 4:00:19 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DMG3406L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "770mW (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "50mOhm @ 3.6A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DMG3406L-7DICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 250µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC5" ("IC5"); Footprint = "DIODES SOT-23-3"; UniqueID = "\FVCHCZFT" ("\FVCHCZFT")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/DMG3406L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/DMG3406L-7/DMG3406L-7DICT-ND/5223238"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "3.6A (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "11.2nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "495pF @ 15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/21/2020 4:00:19 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "DMG3406L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "770mW (Ta)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "50mOhm @ 3.6A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "DMG3406L-7DICT-ND"; VariantName = "[No Variations]"
